"Mai","Juin","Juillet","Aout","Septembre"
41,29,135,39,96
36,71,49,9,78
12,39,32,16,73
18,23,64,78,91
28,21,40,35,47
23,37,77,66,32
19,20,97,122,20
8,12,97,89,23
7,13,85,110,21
16,"",10,44,24
11,"",27,28,44
14,"",7,65,21
18,"",48,22,28
14,"",35,59,9
34,"",61,23,13
6,"",79,31,46
30,"",63,44,18
11,"",16,21,13
1,"",80,9,24
11,"",108,45,16
4,"",20,168,13
32,"",52,73,23
23,"",82,76,36
45,"",50,118,7
115,"",64,84,14
37,"",59,85,30
"","","","",14
"","","","",18
"","","","",20
