Ref_Date,GEO,SECTORS,STATEMENT,Vector,Coordinate,Value

1991/03,Canada,Consolidated government,"Revenue (x 1,000,000)",v52530996,1.1.1,70677.0

1991/06,Canada,Consolidated government,"Revenue (x 1,000,000)",v52530996,1.1.1,77486.0

1991/09,Canada,Consolidated government,"Revenue (x 1,000,000)",v52530996,1.1.1,75160.0

1991/12,Canada,Consolidated government,"Revenue (x 1,000,000)",v52530996,1.1.1,78944.0

1992/03,Canada,Consolidated government,"Revenue (x 1,000,000)",v52530996,1.1.1,77199.0

1992/06,Canada,Consolidated government,"Revenue (x 1,000,000)",v52530996,1.1.1,78260.0

1992/09,Canada,Consolidated government,"Revenue (x 1,000,000)",v52530996,1.1.1,76445.0

